Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,Total,GPSDateTime,Lat,Long,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP17,20170420_093843a,20/04/2017 9:38:43,8,201708001,0,1,0,1,,,,,2017,4,20,938,9,38,43,09:38:43,20/04/2017
DSWP17,20170420_095909a,20/04/2017 9:59:09,8,201708002,0,0,1,1,,,,,2017,4,20,959,9,59,9,09:59:09,20/04/2017
DSWP17,20170420_104914a,20/04/2017 10:49:14,8,201708003,0,0,2,2,,,,,2017,4,20,1049,10,49,14,10:49:14,20/04/2017
DSWP17,20170420_125133a,20/04/2017 12:51:33,8,201708004,0,1,0,1,,,,,2017,4,20,1251,12,51,33,12:51:33,20/04/2017
DSWP17,20170420_125442a,20/04/2017 12:54:42,8,201708005,0,3,0,3,,,,,2017,4,20,1254,12,54,42,12:54:42,20/04/2017
DSWP17,20170420_133817a,20/04/2017 13:38:17,8,201708006,0,1,0,1,,,,,2017,4,20,1338,13,38,17,13:38:17,20/04/2017
DSWP17,20170420_134628a,20/04/2017 13:46:28,8,201708007,0,2,1,3,,,,,2017,4,20,1346,13,46,28,13:46:28,20/04/2017
DSWP17,20170420_134744a,20/04/2017 13:47:44,8,201708008,0,0,1,1,,,,,2017,4,20,1347,13,47,44,13:47:44,20/04/2017
DSWP17,20170420_144407a,20/04/2017 14:44:07,8,201708009,0,1,0,1,,,,,2017,4,20,1444,14,44,7,14:44:07,20/04/2017
DSWP17,20170420_151951a,20/04/2017 15:19:51,8,201708010,0,1,1,2,,,,,2017,4,20,1519,15,19,51,15:19:51,20/04/2017
DSWP17,20170420_152455a,20/04/2017 15:24:55,8,201708011,0,1,0,1,,,,,2017,4,20,1524,15,24,55,15:24:55,20/04/2017
DSWP17,20170420_154645a,20/04/2017 15:46:45,8,201708012,0,1,1,2,,,,,2017,4,20,1546,15,46,45,15:46:45,20/04/2017
DSWP17,20170420_161600a,20/04/2017 16:16:00,8,201708013,0,1,1,2,,,,,2017,4,20,1616,16,16,0,16:16:00,20/04/2017
DSWP17,20170420_163454a,20/04/2017 16:34:54,8,201708014,0,1,1,2,,,,,2017,4,20,1634,16,34,54,16:34:54,20/04/2017
DSWP17,20170420_164749a,20/04/2017 16:47:49,8,201708015,0,1,0,1,,,,,2017,4,20,1647,16,47,49,16:47:49,20/04/2017
DSWP17,20170420_170620a,20/04/2017 17:06:20,8,201708018,0,1,0,1,,,,,2017,4,20,1706,17,6,20,17:06:20,20/04/2017
DSWP17,20170420_171445a,20/04/2017 17:14:45,8,201708019,0,1,0,1,,,,,2017,4,20,1714,17,14,45,17:14:45,20/04/2017
DSWP17,20170420_125538a_2,20/04/2017 12:55:38,8,201708005,0,3,0,3,,,,,2017,4,20,1255,12,55,38,12:55:38,20/04/2017
DSWP17,20170420_145147a_2,20/04/2017 14:51:47,8,201708009,0,1,0,1,,,,,2017,4,20,1451,14,51,47,14:51:47,20/04/2017
DSWP17,20170420_152125a_2,20/04/2017 15:21:25,8,201708010,0,1,1,2,,,,,2017,4,20,1521,15,21,25,15:21:25,20/04/2017
DSWP17,20170420_152517a_2,20/04/2017 15:25:17,8,201708011,0,1,0,1,,,,,2017,4,20,1525,15,25,17,15:25:17,20/04/2017
DSWP17,20170420_154822a_2,20/04/2017 15:48:22,8,201708012,0,1,1,2,,,,,2017,4,20,1548,15,48,22,15:48:22,20/04/2017
DSWP17,20170420_162224a_2,20/04/2017 16:22:24,8,201708013,0,1,1,2,,,,,2017,4,20,1622,16,22,24,16:22:24,20/04/2017
DSWP17,20170420_170139a_2,20/04/2017 17:01:39,8,201708016,0,1,0,1,,,,,2017,4,20,1701,17,1,39,17:01:39,20/04/2017
DSWP17,20170420_170429a_2,20/04/2017 17:04:29,8,201708017,0,1,0,1,,,,,2017,4,20,1704,17,4,29,17:04:29,20/04/2017
DSWP17,20170420_170641a_2,20/04/2017 17:06:41,8,201708018,0,1,0,1,,,,,2017,4,20,1706,17,6,41,17:06:41,20/04/2017
DSWP17,20170420_171507a_2,20/04/2017 17:15:07,8,201708020,0,1,1,2,,,,,2017,4,20,1715,17,15,7,17:15:07,20/04/2017
